minsec,seconds,optB,timestamp
3145,1636291905,2,1636291905.005035
3146,1636291906,2,1636291906.012043
3147,1636291907,2,1636291907.018698
3148,1636291908,2,1636291908.032589
3149,1636291909,2,1636291909.039014
3150,1636291910,2,1636291910.045689
3151,1636291911,2,1636291911.052274
3152,1636291912,2,1636291912.058874
3153,1636291913,2,1636291913.073446
3154,1636291914,2,1636291914.079932
3155,1636291915,2,1636291915.086427
3156,1636291916,2,1636291916.092643
3157,1636291917,2,1636291917.098684
3158,1636291918,4,1636291918.112718
3159,1636291919,4,1636291919.118744
3200,1636291920,4,1636291920.124043
3201,1636291921,4,1636291921.127969
3202,1636291922,4,1636291922.132073
3203,1636291923,6,1636291923.143332
3204,1636291924,6,1636291924.149948
3205,1636291925,6,1636291925.156115
3206,1636291926,6,1636291926.162535
3207,1636291927,6,1636291927.168310
3208,1636291928,8,1636291928.181818
3209,1636291929,8,1636291929.188137
3210,1636291930,8,1636291930.194580
3211,1636291931,8,1636291931.200966
3212,1636291932,8,1636291932.207440
3213,1636291933,8,1636291933.221752
3214,1636291934,8,1636291934.228373
3215,1636291935,8,1636291935.233648
3216,1636291936,8,1636291936.237533
3217,1636291937,8,1636291937.243519
3218,1636291938,10,1636291938.257586
3219,1636291939,10,1636291939.264129
3220,1636291940,10,1636291940.269161
3221,1636291941,10,1636291941.275520
3222,1636291942,10,1636291942.282152
3223,1636291943,10,1636291943.300277
3224,1636291944,10,1636291944.306886
3225,1636291945,10,1636291945.313154
3226,1636291946,10,1636291946.319817
3227,1636291947,10,1636291947.326348
3228,1636291948,10,1636291948.340278
3229,1636291949,10,1636291949.346975
3230,1636291950,10,1636291950.353770
3231,1636291951,10,1636291951.360541
3232,1636291952,10,1636291952.367434
3233,1636291953,8,1636291953.382914
3234,1636291954,8,1636291954.389691
3235,1636291955,8,1636291955.396305
3236,1636291956,8,1636291956.403202
3237,1636291957,8,1636291957.409886
3238,1636291958,8,1636291958.423450
3239,1636291959,8,1636291959.429997
3240,1636291960,8,1636291960.436011
3241,1636291961,8,1636291961.439706
3242,1636291962,8,1636291962.445398
3243,1636291963,6,1636291963.458715
3244,1636291964,6,1636291964.464058
3245,1636291965,6,1636291965.470006
3246,1636291966,6,1636291966.475805
3247,1636291967,6,1636291967.481087
3248,1636291968,4,1636291968.492125
3249,1636291969,4,1636291969.498030
3250,1636291970,4,1636291970.504763
3251,1636291971,4,1636291971.511582
3252,1636291972,4,1636291972.519163
3253,1636291973,2,1636291973.534019
3254,1636291974,2,1636291974.538846
3255,1636291975,2,1636291975.545110
3256,1636291976,2,1636291976.551926
3257,1636291977,2,1636291977.558584
3258,1636291978,2,1636291978.574036
3259,1636291979,2,1636291979.580913
3300,1636291980,2,1636291980.587340
3301,1636291981,2,1636291981.594076
3302,1636291982,2,1636291982.600942
3303,1636291983,2,1636291983.615282
3304,1636291984,2,1636291984.622100
3305,1636291985,2,1636291985.628633
3306,1636291986,2,1636291986.635204
3307,1636291987,2,1636291987.641849
3308,1636291988,4,1636291988.656719
3309,1636291989,4,1636291989.663162
3310,1636291990,4,1636291990.669915
3311,1636291991,4,1636291991.675607
3312,1636291992,4,1636291992.681947
3313,1636291993,6,1636291993.695964
3314,1636291994,6,1636291994.702555
3315,1636291995,6,1636291995.709188
3316,1636291996,6,1636291996.715935
3317,1636291997,6,1636291997.722773
3318,1636291998,8,1636291998.738033
3319,1636291999,8,1636291999.744981
3320,1636292000,8,1636292000.751701
3321,1636292001,8,1636292001.756572
3322,1636292002,8,1636292002.760801
3323,1636292003,8,1636292003.770636
3324,1636292004,8,1636292004.776506
3325,1636292005,8,1636292005.783020
3326,1636292006,8,1636292006.789345
3327,1636292007,8,1636292007.795378
3328,1636292008,10,1636292008.809658
3329,1636292009,10,1636292009.816483
3330,1636292010,10,1636292010.823367
