PING 10.79.140.204 (10.79.140.204) 56(84) bytes of data.
64 bytes from 10.79.140.204: icmp_seq=138 ttl=64 time=58.9 ms
64 bytes from 10.79.140.204: icmp_seq=139 ttl=64 time=85.9 ms
64 bytes from 10.79.140.204: icmp_seq=140 ttl=64 time=8.04 ms
64 bytes from 10.79.140.204: icmp_seq=141 ttl=64 time=22.0 ms
64 bytes from 10.79.140.204: icmp_seq=142 ttl=64 time=44.8 ms
64 bytes from 10.79.140.204: icmp_seq=143 ttl=64 time=69.3 ms
64 bytes from 10.79.140.204: icmp_seq=144 ttl=64 time=95.7 ms
64 bytes from 10.79.140.204: icmp_seq=145 ttl=64 time=113 ms
64 bytes from 10.79.140.204: icmp_seq=146 ttl=64 time=31.9 ms
64 bytes from 10.79.140.204: icmp_seq=147 ttl=64 time=55.4 ms
64 bytes from 10.79.140.204: icmp_seq=148 ttl=64 time=80.0 ms
64 bytes from 10.79.140.204: icmp_seq=149 ttl=64 time=204 ms
64 bytes from 10.79.140.204: icmp_seq=150 ttl=64 time=20.7 ms
64 bytes from 10.79.140.204: icmp_seq=151 ttl=64 time=43.0 ms
64 bytes from 10.79.140.204: icmp_seq=152 ttl=64 time=69.7 ms
64 bytes from 10.79.140.204: icmp_seq=153 ttl=64 time=91.4 ms
64 bytes from 10.79.140.204: icmp_seq=154 ttl=64 time=111 ms
64 bytes from 10.79.140.204: icmp_seq=155 ttl=64 time=36.0 ms
64 bytes from 10.79.140.204: icmp_seq=156 ttl=64 time=57.6 ms
64 bytes from 10.79.140.204: icmp_seq=157 ttl=64 time=81.2 ms
64 bytes from 10.79.140.204: icmp_seq=158 ttl=64 time=99.3 ms
64 bytes from 10.79.140.204: icmp_seq=159 ttl=64 time=21.2 ms
64 bytes from 10.79.140.204: icmp_seq=160 ttl=64 time=45.9 ms
64 bytes from 10.79.140.204: icmp_seq=161 ttl=64 time=64.6 ms
64 bytes from 10.79.140.204: icmp_seq=162 ttl=64 time=88.7 ms
64 bytes from 10.79.140.204: icmp_seq=163 ttl=64 time=111 ms
64 bytes from 10.79.140.204: icmp_seq=164 ttl=64 time=29.5 ms
64 bytes from 10.79.140.204: icmp_seq=165 ttl=64 time=55.0 ms
64 bytes from 10.79.140.204: icmp_seq=166 ttl=64 time=101 ms
64 bytes from 10.79.140.204: icmp_seq=167 ttl=64 time=103 ms
64 bytes from 10.79.140.204: icmp_seq=168 ttl=64 time=17.8 ms
64 bytes from 10.79.140.204: icmp_seq=169 ttl=64 time=39.2 ms
64 bytes from 10.79.140.204: icmp_seq=170 ttl=64 time=25.8 ms
64 bytes from 10.79.140.204: icmp_seq=171 ttl=64 time=84.2 ms
64 bytes from 10.79.140.204: icmp_seq=172 ttl=64 time=106 ms
64 bytes from 10.79.140.204: icmp_seq=173 ttl=64 time=30.0 ms
64 bytes from 10.79.140.204: icmp_seq=174 ttl=64 time=50.9 ms
64 bytes from 10.79.140.204: icmp_seq=175 ttl=64 time=73.0 ms
64 bytes from 10.79.140.204: icmp_seq=176 ttl=64 time=95.1 ms
64 bytes from 10.79.140.204: icmp_seq=177 ttl=64 time=15.5 ms
64 bytes from 10.79.140.204: icmp_seq=178 ttl=64 time=57.9 ms
64 bytes from 10.79.140.204: icmp_seq=179 ttl=64 time=62.6 ms
64 bytes from 10.79.140.204: icmp_seq=180 ttl=64 time=87.9 ms
64 bytes from 10.79.140.204: icmp_seq=181 ttl=64 time=107 ms
64 bytes from 10.79.140.204: icmp_seq=182 ttl=64 time=28.8 ms
64 bytes from 10.79.140.204: icmp_seq=183 ttl=64 time=8.43 ms
64 bytes from 10.79.140.204: icmp_seq=184 ttl=64 time=74.2 ms
64 bytes from 10.79.140.204: icmp_seq=185 ttl=64 time=97.4 ms
64 bytes from 10.79.140.204: icmp_seq=186 ttl=64 time=17.6 ms
64 bytes from 10.79.140.204: icmp_seq=187 ttl=64 time=38.2 ms
64 bytes from 10.79.140.204: icmp_seq=188 ttl=64 time=62.6 ms
64 bytes from 10.79.140.204: icmp_seq=189 ttl=64 time=83.2 ms
64 bytes from 10.79.140.204: icmp_seq=190 ttl=64 time=111 ms
64 bytes from 10.79.140.204: icmp_seq=191 ttl=64 time=33.2 ms
64 bytes from 10.79.140.204: icmp_seq=192 ttl=64 time=50.7 ms
64 bytes from 10.79.140.204: icmp_seq=193 ttl=64 time=73.5 ms
64 bytes from 10.79.140.204: icmp_seq=194 ttl=64 time=97.9 ms
64 bytes from 10.79.140.204: icmp_seq=195 ttl=64 time=19.5 ms
64 bytes from 10.79.140.204: icmp_seq=196 ttl=64 time=38.9 ms
64 bytes from 10.79.140.204: icmp_seq=197 ttl=64 time=63.3 ms
64 bytes from 10.79.140.204: icmp_seq=198 ttl=64 time=85.0 ms
64 bytes from 10.79.140.204: icmp_seq=199 ttl=64 time=109 ms
64 bytes from 10.79.140.204: icmp_seq=200 ttl=64 time=29.1 ms
64 bytes from 10.79.140.204: icmp_seq=201 ttl=64 time=48.8 ms
64 bytes from 10.79.140.204: icmp_seq=202 ttl=64 time=71.3 ms
64 bytes from 10.79.140.204: icmp_seq=203 ttl=64 time=94.8 ms
64 bytes from 10.79.140.204: icmp_seq=204 ttl=64 time=16.0 ms
64 bytes from 10.79.140.204: icmp_seq=205 ttl=64 time=36.2 ms
64 bytes from 10.79.140.204: icmp_seq=206 ttl=64 time=62.8 ms
64 bytes from 10.79.140.204: icmp_seq=207 ttl=64 time=82.2 ms
64 bytes from 10.79.140.204: icmp_seq=208 ttl=64 time=103 ms
64 bytes from 10.79.140.204: icmp_seq=209 ttl=64 time=24.5 ms
64 bytes from 10.79.140.204: icmp_seq=210 ttl=64 time=49.7 ms
64 bytes from 10.79.140.204: icmp_seq=211 ttl=64 time=67.7 ms
64 bytes from 10.79.140.204: icmp_seq=212 ttl=64 time=90.2 ms
64 bytes from 10.79.140.204: icmp_seq=213 ttl=64 time=112 ms
64 bytes from 10.79.140.204: icmp_seq=214 ttl=64 time=35.4 ms
64 bytes from 10.79.140.204: icmp_seq=215 ttl=64 time=55.7 ms
64 bytes from 10.79.140.204: icmp_seq=216 ttl=64 time=78.0 ms
64 bytes from 10.79.140.204: icmp_seq=217 ttl=64 time=102 ms
64 bytes from 10.79.140.204: icmp_seq=218 ttl=64 time=24.7 ms
64 bytes from 10.79.140.204: icmp_seq=219 ttl=64 time=45.0 ms
64 bytes from 10.79.140.204: icmp_seq=220 ttl=64 time=8.41 ms
64 bytes from 10.79.140.204: icmp_seq=221 ttl=64 time=92.2 ms
64 bytes from 10.79.140.204: icmp_seq=222 ttl=64 time=113 ms
